"Subject","Experiment","Sex","Age","OutcomeCond","RespCond","Running","Congruency","Delay","Stimulus","Outcome","Resp","RT","Acc","Points","Discard","KT.RespAcc","KT.OutcomeAcc","Error"
"1","OR-priming-baseline","male","20","1","1","PracticeTraining",NA,NA,"S1","O1","R2","1667","0","0",NA,NA,NA,NA
"1","OR-priming-baseline","male","20","1","1","PracticeTraining",NA,NA,"S1","O1","R1","1342","1","4",NA,NA,NA,NA
"1","OR-priming-baseline","male","20","1","1","PracticeTraining",NA,NA,"S2","O2","R2","940","1","6",NA,NA,NA,NA
"1","OR-priming-baseline","male","20","1","1","PracticeTraining",NA,NA,"S2","O2","R2","556","1","8",NA,NA,NA,NA
"1","OR-priming-baseline","male","20","1","1","PracticeTraining",NA,NA,"S3","","R1","603","0","0",NA,NA,NA,NA
"1","OR-priming-baseline","male","20","1","1","PracticeTraining",NA,NA,"S3","","R2","440","0","0",NA,NA,NA,NA
"1","OR-priming-baseline","male","20","1","1","Training",NA,NA,"S1","O1","R1","2976","1","0",NA,NA,NA,NA
"1","OR-priming-baseline","male","20","1","1","Training",NA,NA,"S1","O1","R2","359","0","0",NA,NA,NA,NA
"1","OR-priming-baseline","male","20","1","1","Training",NA,NA,"S3","","R1","338","0","0",NA,NA,NA,NA
"1","OR-priming-baseline","male","20","1","1","Training",NA,NA,"S2","O2","R2","435","1","8",NA,NA,NA,NA
"1","OR-priming-baseline","male","20","1","1","Training",NA,NA,"S2","O2","R1","3392","0","0",NA,NA,NA,NA
"1","OR-priming-baseline","male","20","1","1","Training",NA,NA,"S1","O1","R2","495","0","0",NA,NA,NA,NA
"1","OR-priming-baseline","male","20","1","1","Training",NA,NA,"S3","","R2","1523","0","0",NA,NA,NA,NA
"1","OR-priming-baseline","male","20","1","1","Training",NA,NA,"S2","O2","R1","585","0","0",NA,NA,NA,NA
"1","OR-priming-baseline","male","20","1","1","Training",NA,NA,"S1","O1","R2","506","0","0",NA,NA,NA,NA
